	HLD_85_R1	HLD_80_R1	HLD_72_2_R1	HLD_47_R1	HLD_28_R1	HLD_23_R1	HLD_112_R1	HLD_111_2_R1	HLD_102_R1	HLD_100_R1	CL_177_R1	CL_173_2_R1	CL_169_BL_R1	CL_166_BL_R2_R1	CL_165_R1	CL_160_R1	CL_144_2_R1	CL_141_BL_R2_R1	CL_139_BL_2_R1	CL_119_R1
Bacteriocin-like peptide O BlpO	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
bacteriophytochrome heme oxygenase BphO	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Bacteriorhodopsin	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Bacterocin transport accessory protein	10	8	1	9	1	6	7	1	1	1	0	1	3	0	81	1	1	18	1	1
Bactriocin immunity protein BlpX	10	14	27	32	0	2	3	1	1	23	0	1	0	0	18	1	1	25	2	0
Bactriocin immunity protein BlpY	10	1	1	1	1	17	1	1	8	1	0	1	3	0	5	1	1	1	1	1
BarA sensory histidine kinase (= VarS = GacS)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
BarA-associated response regulator UvrY (= GacA = SirA)	10	1	1	1	1	17	1	1	1	1	0	1	3	0	20	1	11	1	1	1
BatA (Bacteroides aerotolerance operon)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	101	1	1
BatB	10	1	6072	9	1	12	16827	1	1	1	2	1	3	0	1	1	1	4	763	1
BatC	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
BatD	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
BatE	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
BclA protein	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Believed to be involved in assembly of Fe-S clusters	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
benABC operon transcriptional activator BenR	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Benzoate 1,2-dioxygenase (EC 1.14.12.10)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Benzoate 1,2-dioxygenase alpha subunit (EC 1.14.12.10)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Benzoate 1,2-dioxygenase beta subunit (EC 1.14.12.10)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Benzoate catabolic operon transcription regulator	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
benzoate degradation ring-cleavage hydrolase	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
benzoate dioxygenase, ferredoxin reductase component	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
benzoate MFS transporter BenK	10	0	0	0	0	0	0	1	1	2	0	0	0	0	0	0	0	0	0	0
Benzoate transport protein	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Benzoate transport related protein	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Benzoate transport, ATP binding protein	10	1	1	1	1	35	1	1	8	1	46	1	3	50	1	8	1	177	9	1
Benzoate transport, ATPase component	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Benzoate transport, extracellular ligand-binding receptor	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Benzoate transport, inner-membrane translocator	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Benzoate transport, inner-membrane translocator precursor	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Benzoate-CoA ligase (EC 6.2.1.25)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
benzoate-specific porin	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Benzoyl-CoA oxygenase component A	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Benzoyl-CoA oxygenase component B	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Benzoyl-CoA reductase subunit BadD (EC 1.3.99.15)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Benzoyl-CoA reductase subunit BadE (EC 1.3.99.15)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Benzoyl-CoA reductase subunit BadF (EC 1.3.99.15)	10	0	0	3	0	0	0	1	0	0	0	1	1	0	0	0	0	5	0	0
Benzoyl-CoA reductase subunit BadG (EC 1.3.99.15)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
benzoyl-CoA-dihydrodiol lyase (BoxC)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Benzoylformate decarboxylase (EC 4.1.1.7)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Beta N-acetyl-glucosaminidase (EC 3.2.1.52)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Beta-1,3-glucosyltransferase	10	1	1	1	1	1	1	1	1	1	0	429	3	0	364	77	1	358	1	1
Beta-1,4-galactosyltransferase	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Beta-1,4-N-acetylgalactosaminyltransferase (EC 2.4.1.-)	10	61	105	9	6	86	1	1	1	1	0	1	3	3	1	1	1	1	1	1
Beta-carotene hydroxylase	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Beta-carotene ketolase (EC 1.14.-.-)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Beta-fimbriae chaperone protein	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Beta-fimbriae probable major subunit	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Beta-fimbriae usher protein	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Beta-galactosidase (EC 3.2.1.23)	10	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	3
Beta-galactosidase 3	10	1	1	37	1	46	20	1	41	1	4	1	218	0	76	8	1	14	18	1
Beta-galactosidase large subunit (EC 3.2.1.23)	10	1	1	1	16	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Beta-galactosidase small subunit (EC 3.2.1.23)	10	1	1	1	6	1	1	1	1	1	0	1	3	0	1	1	1	1	9	1
Beta-glucanase precursor (EC 3.2.1.73)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Beta-glucosidase (EC 3.2.1.21)	10	15	1	1	486	1	1	1	17	1	0	41	3	5	1	1	1	1	1	42
Beta-glucoside ABC transport system, ATP-binding protein 1	10	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0
Beta-glucoside ABC transport system, ATP-binding protein 2	10	8	30	12	5	9	11	17	9	7	0	10	74	0	1	2	6	13	3	9
Beta-glucoside ABC transport system, permease protein 1	10	5	21	7	3	6	7	11	6	4	0	6	45	0	1	2	3	8	2	5
Beta-glucoside ABC transport system, permease protein 2	10	8	27	10	5	8	10	13	8	6	0	8	62	0	1	2	5	10	3	7
Beta-glucoside ABC transport system, sugar-binding protein	10	8	28	10	5	8	10	13	8	6	1	8	65	0	1	2	4	10	3	8
Beta-glucoside bgl operon antiterminator, BglG family	10	0	0	0	7	8	1	0	0	0	4	0	27	53	0	0	2	70	1	129
Beta-glucuronidase (EC 3.2.1.31)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Beta-hexosaminidase (EC 3.2.1.52)	10	1	1	1	1	1	1	1	1	1	0	21	3	0	1	512	1	1	1	1
Beta-ketoadipate enol-lactone hydrolase (EC 3.1.1.24)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Beta-ketoadipyl CoA thiolase (EC 2.3.1.-)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Beta-lactamase	10	1	1	1	1	6	1	1	1	1	0	1	3	0	1	1	1	7	1	79
Beta-lactamase (Cephalosporinase) (EC 3.5.2.6)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Beta-lactamase (EC 3.5.2.6)	10	0	0	0	0	0	0	0	0	9	0	20	0	0	0	3	0	0	1	0
Beta-lactamase AmpS	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Beta-lactamase class A	10	1	1	1	1	1	1	1	1	39	0	1	3	0	1	1	1	14	1	5
Beta-lactamase class C and other penicillin binding proteins	10	1	9	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Beta-lactamase class D	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Beta-lactamase regulatory sensor-transducer BlaR1	10	1	0	1	0	1	0	0	0	3	1	0	0	7	0	2	3	10	4	16
Beta-lactamase repressor BlaI	10	1	1	73	1	1	1	1	41	1	0	1	3	0	1	1	1	1	1	1
Beta-lactamase, class C	10	8	1	1	1	17	1	1	25	45	0	1	3	0	5	1	1	7	1	1
Beta-lysine acetyltransferase (EC 2.3.1.-)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Beta-mannan and fructose induced hypothetical ABC transporter, ATP-binding protein 2	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	11	1	1
Beta-mannosidase (EC 3.2.1.25)	10	145	1	1	6	1	1	1	1	1	0	1	3	0	1	20	1	1	104	14
Beta-mannosidase Man2	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Beta-N-acetylhexosaminidase, (GlcNAc)2 catabolism	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Beta-phosphoglucomutase (EC 5.4.2.6)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
beta-ribofuranosylaminobenzene 5'-phosphate synthase	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Beta-ureidopropionase (EC 3.5.1.6)	10	0	8	116	72	0	0	0	210	1	0	3	0	0	6	74	0	0	0	0
Beta-xylosidase (EC 3.2.1.37)	10	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	1	2	12
Betaine aldehyde dehydrogenase (EC 1.2.1.8)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Betaine reductase component B alpha subunit (EC 1.21.4.4)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Betaine reductase component B beta subunit (EC 1.21.4.4)	10	1	1	1	1	6	1	1	1	1	309	1	3	34	1	1	11	1	1	1
Betaine--homocysteine S-methyltransferase (EC 2.1.1.5)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
BH1670 unknown conserved protein in B. subtilis	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
BH2577 unknown conserved protein in B. subtilis	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Bifunctional autolysin Atl	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
bifunctional hemolysin-adenylate cyclase precursor	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Bifunctional PLP-dependent enzyme with beta-cystathionase and maltose regulon repressor activities	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Bilin biosynthesis protein CpeZ	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Biofilm operon icaABCD HTH-type negative transcriptional regulator IcaR	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Biofilm PGA outer membrane secretin PgaA	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Biofilm PGA synthesis auxiliary protein PgaD	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Biofilm PGA synthesis deacetylase PgaB (EC 3.-)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Biofilm PGA synthesis N-glycosyltransferase PgaC (EC 2.4.-.-)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Biopolymer transport ExbD protein	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Biopolymer transport protein ExbD/TolR	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Biopolymer transport protein ExbD1	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Biosynthetic arginine decarboxylase (EC 4.1.1.19)	10	1	1	1	1	1	1	1	1	20	0	858	3	0	172	154	1	130	1	1
Biosynthetic Aromatic amino acid aminotransferase alpha (EC 2.6.1.57)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Biosynthetic Aromatic amino acid aminotransferase beta (EC 2.6.1.57)	10	1	1	1	1	1	1	1	1	1	18	1	3	0	1	1	1	1	1	1
Biotin carboxyl carrier protein of acetyl-CoA carboxylase	10	1	1	1	1	1	7	1	8	20	309	1	37	50	1	1	31	14	9	135
Biotin carboxyl carrier protein of glutaconyl-CoA decarboxylase	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Biotin carboxyl carrier protein of methylcrotonyl-CoA carboxylase	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Biotin carboxyl carrier protein of methylmalonyl-CoA decarboxylase	10	1	1	4	1	0	4	0	1	3	0	4	11	0	2	1	0	0	0	0
Biotin carboxyl carrier protein of methylmalonyl-CoA:Pyruvate transcarboxylase	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Biotin carboxyl carrier protein of oxaloacetate decarboxylase	10	1	1	1	1	1459	1	127	1	1	14	1	3	0	1	207	1	1	1	195
Biotin carboxylase of acetyl-CoA carboxylase (EC 6.3.4.14)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Biotin carboxylase of methylcrotonyl-CoA carboxylase (EC 6.3.4.14)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Biotin operon repressor	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	61	1	1	1	1
Biotin sulfoxide reductase (EC 1.-.-.-)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Biotin synthase (EC 2.8.1.6)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Biotin synthesis protein bioC	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Biotin synthesis protein bioG	10	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
Biotin synthesis protein bioH	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Biotin-protein ligase (EC 6.3.4.15)	10	1	1	1	1	1	1	1	1	1	0	1	3	3	1	1	1	1	1	1
Biphenyl dioxygenase beta subunit (EC 1.14.12.18)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Biphenyl-2,3-diol 1,2-dioxygenase (EC 1.13.11.39)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
biphenyl-2,3-diol 1,2-dioxygenase III-related protein	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
biphenyl-2,3-diol 1,2-dioxygenase III-related protein VCA0463 VCA0328 VCA0341	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Bis(5'-nucleosyl)-tetraphosphatase (asymmetrical) (EC 3.6.1.17)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Bis(5'-nucleosyl)-tetraphosphatase, symmetrical (EC 3.6.1.41)	10	1	1	1	1	1	7	1	1	1	0	1	3	0	1	1	1	1	9	1
bll7545	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
BlpT protein, fusion	10	8	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
BlpZ protein, fusion	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Blr3520 protein homolog, hypothetical protein	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Blue copper oxidase CueO precursor	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Bores hole in peptidoglycan layer allowing type IV secretion complex assembly to occur (VirB1)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Branched-chain acyl-CoA dehydrogenase (EC 1.3.99.12)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Branched-chain alpha-keto acid dehydrogenase, E1 component, alpha subunit (EC 1.2.4.4)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Branched-chain alpha-keto acid dehydrogenase, E1 component, beta subunit (EC 1.2.4.4)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Branched-chain amino acid ABC transporter, amino acid-binding protein (TC 3.A.1.4.1)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	26	1
Branched-chain amino acid aminotransferase (EC 2.6.1.42)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Branched-chain amino acid transport ATP-binding protein LivF (TC 3.A.1.4.1)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Branched-chain amino acid transport ATP-binding protein LivG (TC 3.A.1.4.1)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Branched-chain amino acid transport system permease protein LivM (TC 3.A.1.4.1)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Broad-specificity glycerol dehydrogenase (EC 1.1.99.22), subunit SldA	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Broad-substrate range phospholipase C (EC 3.1.4.3)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Butyrate kinase (EC 2.7.2.7)	10	1	1	1	1	1	1	1	1	1	0	1	455	0	1	1	1	1	1	1
Butyrate-acetoacetate CoA-transferase subunit A (EC 2.8.3.9)	10	1	1	0	0	1	1	0	2	0	4	0	7	0	0	0	1	3	0	0
Butyrate-acetoacetate CoA-transferase subunit B (EC 2.8.3.9)	10	1	1	970	1	1	1	1	1	1	22	1	3	0	1	1	1	1	1	1
Butyryl-CoA dehydrogenase (EC 1.3.99.2)	10	1	0	0	4	4	0	1	3	1	0	0	0	0	0	0	0	0	0	0
C-1'-hydroxylase CruF	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
C-terminal domain of CinA type S	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
C-terminal domain of CinA type S homolog	10	1	4	4	3	1	3	0	2	1	0	0	38	2	1	0	2	15	2	0
C3 family ADP-ribosyltransferase (EC 2.4.2.-)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
C3-degrading proteinase	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
C4 aminotransferase specific for PseB product (PseC, second step of pseudaminic acid biosynthesis)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
C4-type zinc finger protein, DksA/TraR family	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
C5a peptidase (EC 3.4.21.-)	10	0	0	0	1	0	3	0	0	1	1	1	1	0	0	0	0	0	1	0
Cadmium efflux system accessory protein	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Cadmium resistance protein	10	15	1	28	1	6	13	9	1	52	2	1	37	3	96	1	1	72	18	9
Cadmium-transporting ATPase (EC 3.6.3.3)	10	0	0	0	2	0	0	0	0	0	0	0	9	0	1	0	0	0	0	0
calmodulin sensitive adenylate cyclase, edema factor, cya, plasmid pXO1, B. anthracis (M23179, M24074)	10	0	0	0	1	0	0	0	0	9	0	3	6	0	0	0	3	0	0	4
CAMP factor	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
CAMP phosphodiesterases class-II:Metallo-beta-lactamase superfamily	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
cAMP-binding proteins - catabolite gene activator and regulatory subunit of cAMP-dependent protein kinases	10	7	0	4	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0
cAMP-dependent Kef-type K+ transport system	10	1	0	3	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0
Candidate gene for the hypothesized phosphomevalonate decarboxylase	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Candidate zinc-binding lipoprotein ZinT	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
CapK protein, putative	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Capsid scaffolding protein	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Capsular polysaccharide ABC transporter, ATP-binding protein KpsT	10	1	1	1	1	1	1	1	1	1	0	1	37	0	1	20	1	54	1	1
Capsular polysaccharide ABC transporter, permease protein KpsM	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Capsular polysaccharide biosynthesis fatty acid synthase WcbR	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
capsular polysaccharide biosynthesis protein	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Capsular polysaccharide biosynthesis protein CapD	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Capsular polysaccharide biosynthesis protein Cps4E	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Capsular polysaccharide biosynthesis protein CpsK(V)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Capsular polysaccharide biosynthesis protein WcbF	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Capsular polysaccharide biosynthesis protein WcbJ, NAD-dependent epimerase/dehydratase family	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Capsular polysaccharide biosynthesis protein WcbQ	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
capsular polysaccharide biosynthesis protein, putative	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Capsular polysaccharide biosynthesis/export periplasmic protein WcbA	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Capsular polysaccharide biosynthesis/export periplasmic protein WcbC	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Capsular polysaccharide biosythesis protein CpsI	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Capsular polysaccharide export system inner membrane protein KpsE	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Capsular polysaccharide export system periplasmic protein KpsD	10	8	96	1	16	1	1	9	17	1	1514	1	3	3147	1	1	1	867	469	1
Capsular polysaccharide export system protein KpsC	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Capsular polysaccharide export system protein KpsF	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Capsular polysaccharide export system protein KpsS	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Capsular polysaccharide glycosyltransferase biosynthesis protein WcbB	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Capsular polysaccharide repeat unit transporter CpsL	10	8	9	1	38	23	1	1	49	52	46	1	3	0	20	1	1	1	35	1
Capsular polysaccharide repeating-unit polymerase CpsH	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Capsular polysaccharide synthesis enzyme Cap5F	10	3	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	2	0
Capsular polysaccharide synthesis enzyme Cap5H	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Capsular polysaccharide synthesis enzyme Cap5J	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Capsular polysaccharide synthesis enzyme Cap5K	10	1	1	1	27	1	1	1	1	1	0	1	3	0	1	1	11	1	1	1
Capsular polysaccharide synthesis enzyme Cap5L	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Capsular polysaccharide synthesis enzyme Cap8H	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Capsular polysaccharide synthesis enzyme Cap8L	10	0	0	0	0	0	0	1	1	2	0	0	0	0	0	1	0	0	0	0
Capsular polysaccharide synthesis enzyme Cap8O	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Capsular polysaccharide synthesis enzyme CpsA, sugar transferase	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Capsular polysaccharide synthesis enzyme CpsB	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Capsular polysaccharide synthesis enzyme CpsC, polysaccharide export	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Capsular polysaccharide synthesis enzyme CpsD, exopolysaccharide synthesis	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Capsule synthesis positive regulator AcpB	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Carbamate kinase (EC 2.7.2.2)	10	0	0	1	0	0	1	0	4	0	13	0	4	20	0	0	6	4	2	29
Carbamate kinase-like protein YqeA	10	1	1	1	1	52	1	1	1	1	16	1	3	29	1	1	1	11	9	1
Carbamoyl-phosphate synthase large chain (EC 6.3.5.5)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	248	1	1	1	1	1
Carbamoyl-phosphate synthase small chain (EC 6.3.5.5)	10	1	1	1	1	6	1	1	1	1	0	1	4403	406	10	1	2507	1	1	5
Carbamoyltransferase in large core OS assembly cluster	10	1	1	1	1	1	7	1	1	1	0	1	3	0	1	1	1	1	1	1
Carbohydrate Esterase Family 4	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Carbon monoxide dehydrogenase CooS subunit (EC 1.2.99.2)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
carbon monoxide dehydrogenase D protein	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
carbon monoxide dehydrogenase E protein	10	0	0	0	0	0	0	1	1	2	0	0	0	0	0	1	0	0	0	0
Carbon monoxide dehydrogenase F protein	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Carbon monoxide dehydrogenase form I, large chain( EC:1.2.99.2 )	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
carbon monoxide dehydrogenase G protein	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Carbon monoxide dehydrogenase large chain (EC 1.2.99.2) parolog without usual motifs	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Carbon monoxide dehydrogenase large chain (EC 1.2.99.2) without typical motifs	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
